Census_type,Year,Geographic_area,Detail_level,State,Creator,Year_rough,Useful_info,Reference,Pagenumber,Digitized_link,Transcribed,Tabulated,Transcription_link,Table_link,Archival_portal_link
Skattemanntall,1556,Lule Lappmark,Finnebyer,Sverige,Jacop Hanson,,Fjellsamer,SE/RA/5121/5121.18/1556: 1,29,https://sok.riksarkivet.se/bildvisning/A0044558_00029#?c=&m=&s=&cv=28&xywh=-900%2C586%2C7535%2C4443,Nei,Nei,x,x,x
Skattemanntall,1557,Pite Lappmark,Finnebyer,Sverige,Nils Jönson,,Fjellsamer,SE/RA/5121/5121.18/1557: 24,15,https://sok.riksarkivet.se/bildvisning/A0044560_00015#?c=&m=&s=&cv=14&xywh=-2397%2C-342%2C9180%2C5413,Nei,Nei,x,x,x
Skattemanntall,1558,Torne Lappmark,Finnebyer,Sverige,Ioen Ionsson,,Fjellsamer,Asiakirjat. 4976 Kemin Lapin tilikirja  (1558-1559). Tiedosto 2. Kansallisarkisto.,2,https://astia.narc.fi/uusiastia/viewer/?fileId=8947930688&aineistoId=1576667997,Nei,Nei,x,x,x
Skattemanntall,1558,"Torne Lappmark, Indre Finnmark",Finnebyer,Sverige,Ioen Jönson,,Fjellsamer,SE/RA/5121/5121.18/1558: 1,19-21,https://sok.riksarkivet.se/bildvisning/A0044562_00019,Nei,Nei,x,x,x
Skattemanntall,1558,Finnmark og Troms,Finnebyer,Sverige,Oluff Nielsson,,Sjøsamer,SE/RA/5121/5121.18/1558: 6,20-28,https://sok.riksarkivet.se/bildvisning/A0044564_00020,Nei,Nei,x,x,x
Skattemanntall,1558,Kemi Lappmark,Finnebyer,Sverige,Oluff Nielsson,,Fjellsamer,SE/RA/5121/5121.18/1558: 6,28,https://sok.riksarkivet.se/bildvisning/A0044564_00028#?c=&m=&s=&cv=27&xywh=582%2C735%2C6218%2C3666,Nei,Nei,x,x,x
Skattemanntall,1558,Pite Lappmark,Finnebyer,Sverige,Jöns Nilsson,,Fjellsamer,SE/RA/5121/5121.18/1558: 10,18,https://sok.riksarkivet.se/bildvisning/A0044565_00018#?c=&m=&s=&cv=17&xywh=1555%2C920%2C4016%2C2368,Nei,Nei,x,x,x
Skattemanntall,1558,Lule Lappmark,Finnebyer,Sverige,Jacop Hanson,,Fjellsamer,SE/RA/5121/5121.18/1558: 11,16,https://sok.riksarkivet.se/bildvisning/A0044566_00016#?c=&m=&s=&cv=15&xywh=1365%2C582%2C4462%2C2631,Nei,Nei,x,x,x
Skattemanntall,1558,Umeå og Angermanland Lappmark,Finnebyer,Sverige,Jöns Swenson,,Fjellsamer,SE/RA/5121/5121.18/1558: 25,14,https://sok.riksarkivet.se/bildvisning/A0044567_00014#?c=&m=&s=&cv=13&xywh=1049%2C1223%2C4673%2C2755,Nei,Nei,x,x,x
Skattemanntall,1559,Pite Lappmark,Finnebyer,Sverige,Jöns Nielsson,,Fjellsamer,SE/RA/5121/5121.18/1559: 16,16,https://sok.riksarkivet.se/bildvisning/A0044568_00016,Nei,Nei,x,x,x
Skattemanntall,1559,"Torne Lappmark, Indre Finnmark",Finnebyer,Sverige,Joen Jonsson,,Fjellsamer,SE/RA/5121/5121.18/1559: 17,17-19,https://sok.riksarkivet.se/bildvisning/A0044569_00017,Nei,Nei,x,x,x
Skattemanntall,1559,Ofoten,Finnebyer,Sverige,Jacop Hanson,,Sjøsamer,SE/RA/5121/5121.18/1603: 10,42,https://sok.riksarkivet.se/bildvisning/A0044634_00042,Nei,Nei,x,x,x
Skattemanntall,1559,Lule Lappmark,Finnebyer,Sverige,Jacop Hanson,,Fjellsamer,SE/RA/5121/5121.18/1559: 18,29,https://sok.riksarkivet.se/bildvisning/A0044570_00029,Nei,Nei,x,x,x
Skattemanntall,1559,Kemi Lappmark,Finnebyer,Sverige,Jochem waxclj,,Fjellsamer,"Asiakirjat. 4615 Limingan voutikunnan, Oulun erämaan ja Kemin Lapin tilikirja  (1559-1559)",86,https://astia.narc.fi/uusiastia/viewer/?fileId=8633090988&aineistoId=1573743079,Nei,Nei,x,x,x
Skattemanntall,1559,Umeå og Angermanland Lappmark,Finnebyer,Sverige,Jöns Suendson,,Fjellsamer,SE/RA/5121/5121.18/1559: 19,18,https://sok.riksarkivet.se/bildvisning/A0044571_00018,Nei,Nei,x,x,x
Skattemanntall,1560,"Torne Lappmark, Troms, Finnmark",Finnebyer,Sverige,Nils Nilsson,,Sjø- og Fjellsamer,SE/RA/5121/5121.18/1560: 8,22-33,https://sok.riksarkivet.se/bildvisning/A0044572_00022,Nei,Nei,x,x,x
Skattemanntall,1560,"Troms, Finnmark",Finnebyer,Sverige,Nils Nilsson,,Sjøsamer,SE/RA/5121/5121.18/1560: 8,39-46,https://sok.riksarkivet.se/bildvisning/A0044572_00039,Nei,Nei,x,x,x
Skattemanntall,1560,Lule Lappmark,Finnebyer,Sverige,Nils Ingeualson,,Fjellsamer,SE/RA/5121/5121.18/1560: 10,23,https://sok.riksarkivet.se/bildvisning/A0044573_00023,Nei,Nei,x,x,x
Skattemanntall,1560,Umeå og Angermanland Lappmark,Finnebyer,Sverige,Jöns Suendson,,Fjellsamer,SE/RA/5121/5121.18/1560: 13,22,https://sok.riksarkivet.se/bildvisning/A0044574_00022,Nei,Nei,x,x,x
Skattemanntall,1561,"Torne Lappmark, Troms, Finnmark",Finnebyer,Sverige,Niels Nilsson,,Sjø- og Fjellsamer,SE/RA/5121/5121.18/1561: 13,30-41,https://sok.riksarkivet.se/bildvisning/A0044575_00030,Nei,Nei,x,x,x
Skattemanntall,1561,"Torne Lappmark, Indre Finnmark",Finnebyer,Sverige,Niels Nilsson,,Fjellsamer,SE/RA/5121/5121.18/1561: 13,42-46,https://sok.riksarkivet.se/bildvisning/A0044575_00042,Nei,Nei,x,x,x
Skattemanntall,1561,Umeå og Angermanland Lappmark,Finnebyer,Sverige,Jöns Suendson,,Fjellsamer,SE/RA/5121/5121.18/1561: 17,15,https://sok.riksarkivet.se/bildvisning/A0044576_00015,Nei,Nei,x,x,x
Skattemanntall,1561,Lule Lappmark,Finnebyer,Sverige,Nils Ingwalson,,Fjellsamer,SE/RA/5121/5121.18/1561: 18,19,https://sok.riksarkivet.se/bildvisning/A0044577_00019,Nei,Nei,x,x,x
Skattemanntall,1561,Pite Lappmark,Finnebyer,Sverige,Jöns Nilsson,,Fjellsamer,SE/RA/5121/5121.18/1561: 19,17,https://sok.riksarkivet.se/bildvisning/A0044578_00017,Nei,Nei,x,x,x
Skattemanntall,1562,Kemi Lappmark,Finnebyer,Sverige,[ukjent],,Fjellsamer,4978 Kemin Lapin tilikirja  (1562-1562). ,2,https://astia.narc.fi/uusiastia/viewer/?fileId=8947930482&aineistoId=1576670547,Nei,Nei,x,x,x
Skattemanntall,1562,Pite Lappmark,Finnebyer,Sverige,Jöns Nilsson,,Fjellsamer,SE/RA/5121/5121.18/1562: 13,18,https://sok.riksarkivet.se/bildvisning/A0044580_00018,Nei,Nei,x,x,x
Skattemanntall,1562,Lule Lappmark,Finnebyer,Sverige,Nils Ingvalson,,Fjellsamer,SE/RA/5121/5121.18/1562: 13,31,https://sok.riksarkivet.se/bildvisning/A0044580_00031,Nei,Nei,x,x,x
Skattemanntall,1562,Finnmark og Troms,Finnebyer,Sverige,Nils Nilsson,,Sjø- og Fjellsamer,SE/RA/5121/5121.18/1562: 13,54-65,https://sok.riksarkivet.se/bildvisning/A0044580_00054,Nei,Nei,x,x,x
Skattemanntall,1562,Umeå og Angermanland Lappmark,Finnebyer,Sverige,Jöns Svenson,,Fjellsamer,SE/RA/5121/5121.18/1562: 3,17,https://sok.riksarkivet.se/bildvisning/A0044579_00017,Nei,Nei,x,x,x
Skattemanntall,1562,Pite Lappmark,Finnebyer,Sverige,Jöns Nilsson,,Fjellsamer,SE/RA/5121/5121.18/1563: 1,19,https://sok.riksarkivet.se/bildvisning/A0044581_00019,Nei,Nei,x,x,x
Skattemanntall,1563,Kemi Lappmark,Finnebyer,Sverige,Hanns Swennske,,Fjellsamer,4980 Kemin Lapin tilikirja (1563-1563):,6,https://astia.narc.fi/uusiastia/viewer/?fileId=8947935631&aineistoId=1576674982,Nei,Nei,x,x,x
Skattemanntall,1563,Pite Lappmark,Finnebyer,Sverige,Jöns Nilsson,,Fjellsamer,SE/RA/5121/5121.18/1563: 1,19,https://sok.riksarkivet.se/bildvisning/A0044581_00019,Nei,Nei,x,x,x
Skattemanntall,1563,"Lule Lappmark, Nordland",Finnebyer,Sverige,Nils Ingevalson,,Fjellsamer,SE/RA/5121/5121.18/1563: 4,14,https://sok.riksarkivet.se/bildvisning/A0044582_00014,Nei,Nei,x,x,x
Skattemanntall,1563,Umeå og Angermanland Lappmark,Finnebyer,Sverige,Nils Olson,,Fjellsamer,SE/RA/5121/5121.18/1563: 15,19,https://sok.riksarkivet.se/bildvisning/A0044583_00019,Nei,Nei,x,x,x
Skattemanntall,1563,"Torne Lappmark, Troms, Finnmark",Finnebyer,Sverige,Nils Nilsson,,Sjø- og Fjellsamer,SE/RA/5121/5121.18/1563: 17,7-18,https://sok.riksarkivet.se/bildvisning/A0044584_00007,Nei,Nei,x,x,x
Skattemanntall,1563,"Troms, Finnmark",Finnebyer,Sverige,Nils Nilsson,,Sjøsamer,SE/RA/5121/5121.18/1560: 8,47-55,https://sok.riksarkivet.se/bildvisning/A0044572_00047,Nei,Nei,x,x,x
Skattemanntall,1563,Nordland,Finnebyer,Sverige,Nils Ingevalson,,Sjøsamer,SE/RA/5121/5121.18/1563: 17,34,https://sok.riksarkivet.se/bildvisning/A0044584_00034,Nei,Nei,x,x,x
Skattemanntall,1564,Kemi Lappmark,Finnebyer,Sverige,Hans Swenske,,Fjellsamer,Asiakirjat. 4981 Oulun erämaan ja Kemin Lapin tilikirja  (1564-1564),6,https://astia.narc.fi/uusiastia/viewer/?fileId=8947935405&aineistoId=1576677889,Nei,Nei,x,x,x
Skattemanntall,1564,Lule Lappmark,Finnebyer,Sverige,Nils Ingevalson,,Fjellsamer,SE/RA/5121/5121.18/1564: 1,17,https://sok.riksarkivet.se/bildvisning/A0044585_00017,Nei,Nei,x,x,x
Skattemanntall,1564,Umeå og Angermanland Lappmark,Finnebyer,Sverige,Nils Olson,,Fjellsamer,SE/RA/5121/5121.18/1564: 1,49,https://sok.riksarkivet.se/bildvisning/A0044585_00049,Nei,Nei,x,x,x
Skattemanntall,1564,"Torne Lappmark, Finnmark",Finnebyer,Sverige,Nils Nilson,,Sjø- og Fjellsamer,SE/RA/5121/5121.18/1564: 1,34-38,https://sok.riksarkivet.se/bildvisning/A0044585_00034,Nei,Nei,x,x,x
Skattemanntall,1564,Pite Lappmark,Finnebyer,Sverige,Jöns Nilson,,Fjellsamer,SE/RA/5121/5121.18/1564: 1,76,https://sok.riksarkivet.se/bildvisning/A0044585_00076,Nei,Nei,x,x,x
Skattemanntall,1565,Kemi Lappmark,Finnebyer,Sverige,Hans Swenske,,Fjellsamer,Asiakirjat. 4982 Oulun erämaan ja Kemin Lapin tilikirja  (1565-1565).,4,https://astia.narc.fi/uusiastia/viewer/?fileId=8947934962&aineistoId=1576684926,Nei,Nei,x,x,x
Skattemanntall,1565,Pite Lappmark,Finnebyer,Sverige,Jöns Nilson,,Fjellsamer,SE/RA/5121/5121.18/1565: 10,14,https://sok.riksarkivet.se/bildvisning/A0044586_00014,Nei,Nei,x,x,x
Skattemanntall,1565,Umeå og Angermanland Lappmark,Finnebyer,Sverige,Nils Olson,,Fjellsamer,SE/RA/5121/5121.18/1565: 10,23,https://sok.riksarkivet.se/bildvisning/A0044586_00023,Nei,Nei,x,x,x
Skattemanntall,1565,Lule Lappmark,Finnebyer,Sverige,Nils Ingevalson,,Fjellsamer,SE/RA/5121/5121.18/1565: 10,43,https://sok.riksarkivet.se/bildvisning/A0044586_00043,Nei,Nei,x,x,x
Skattemanntall,1566,Kemi Lappmark,Finnebyer,Sverige,Christoffer Blome,,Fjellsamer,Asiakirjat. 4983 Oulun erämaan ja Kemin Lapin tilikirja  (1566-1566),4,https://astia.narc.fi/uusiastia/viewer/?fileId=8947934513&aineistoId=1576690822,Nei,Nei,x,x,x
Skattemanntall,1566,Umeå og Angermanland Lappmark,Finnebyer,Sverige,Lasse Joenson,,Fjellsamer,SE/RA/5121/5121.18/1566: 5,7,https://sok.riksarkivet.se/bildvisning/A0044587_00007,Nei,Nei,x,x,x
Skattemanntall,1566,Pite Lappmark,Finnebyer,Sverige,Jönns Nielson,,Fjellsamer,SE/RA/5121/5121.18/1566: 5,33,https://sok.riksarkivet.se/bildvisning/A0044587_00033,Nei,Nei,x,x,x
Skattemanntall,1566,Lule Lappmark,Finnebyer,Sverige,Nils Ingeualson,,Fjellsamer,SE/RA/5121/5121.18/1566: 5,47,https://sok.riksarkivet.se/bildvisning/A0044587_00047,Nei,Nei,x,x,x
Skattemanntall,1566,"Torne Lappmark, Finnmark",Finnebyer,Sverige,Nils Nilson,,Sjø- og Fjellsamer,SE/RA/5121/5121.18/1566: 5,67-75,https://sok.riksarkivet.se/bildvisning/A0044587_00067,Nei,Nei,x,x,x
Leidangsmanntall,1567,"Salten, Troms, Ytre Finnmark",Bygder,Norge,,,Transkribert - lensregnskap bergenshus,PUBL/PUBL-001/C/0005,35-165,https://www.digitalarkivet.no/rk20080922670887,Ja,Nei,https://www.digitalarkivet.no/db10061511255442,x,x
Skattemanntall,1567,"Salten, Troms, Finnmark",Finnebyer,Norge,,,Transkribert - lensregnskap bergenshus - veldig rar,PUBL/PUBL-001/C/0005,255-271,https://www.digitalarkivet.no/rk20080922671000,Ja,Nei,https://www.digitalarkivet.no/db10061511255536,x,x
Skattemanntall,1567,Kemi Lappmark,Finnebyer,Sverige,Christoffer Blom,,Fjellsamer,Asiakirjat. 4984 Oulun erämaan ja Kemin Lapin tilikirja  (1567-1567).,3,https://astia.narc.fi/uusiastia/viewer/?fileId=8947935775&aineistoId=1576698025,Nei,Nei,x,x,x
Skattemanntall,1567,"Torne Lappmark, Finnmark, Spildra",Finnebyer,Sverige,Niels Nielson,,Sjø- og Fjellsamer,SE/RA/5121/5121.18/1567: 1,19-29,https://sok.riksarkivet.se/bildvisning/A0044588_00019,Nei,Nei,x,x,x
Skattemanntall,1567,Lule Lappmark,Finnebyer,Sverige,Nils Ingeualson,,Fjellsamer,SE/RA/5121/5121.18/1567: 1,55,https://sok.riksarkivet.se/bildvisning/A0044588_00055,Nei,Nei,x,x,x
Skattemanntall,1567,Pite Lappmark,Finnebyer,Sverige,Jöns Nelson,,Fjellsamer,SE/RA/5121/5121.18/1567: 1,72,https://sok.riksarkivet.se/bildvisning/A0044588_00072,Nei,Nei,x,x,x
Skattemanntall,1568,Angermanland Lappmark,Lappmark,Sverige,Hendrich Nilsson,,Fjellsamer,SE/RA/5121/5121.18/1568: 8,21,https://sok.riksarkivet.se/bildvisning/A0044589_00021,Nei,Nei,x,x,x
Skattemanntall,1568,"Torne Lappmark, Finnmark, Kvænangen",Finnebyer,Sverige,Niels Nielsson,,Sjø- og Fjellsamer,SE/RA/5121/5121.18/1568: 8,40-51,https://sok.riksarkivet.se/bildvisning/A0044589_00040,Nei,Nei,x,x,x
Skattemanntall?,1568,Torne Lappmark,Finnebyer,Sverige,Niels Nielsson,,Fjellsamer,SE/RA/5121/5121.18/1568: 8,52-56,https://sok.riksarkivet.se/bildvisning/A0044589_00053,Nei,Nei,x,x,x
Skattemanntall,1568,Lule Lappmark,Finnebyer,Sverige,Niels Ingeualdson,,Fjellsamer,SE/RA/5121/5121.18/1568: 8,78,https://sok.riksarkivet.se/bildvisning/A0044589_00078,Nei,Nei,x,x,x
Skattemanntall,1568,Umeå Lappmark,Lappmark,Sverige,Lasse Joenson,,Fjellsamer,SE/RA/5121/5121.18/1568: 8,93,https://sok.riksarkivet.se/bildvisning/A0044589_00093,Nei,Nei,x,x,x
Skattemanntall,1568,Pite Lappmark,Finnebyer,Sverige,Jöns Nilson,,Fjellsamer,SE/RA/5121/5121.18/1570: 12,27,https://sok.riksarkivet.se/bildvisning/A0044592_00027,Nei,Nei,x,x,x
Skattemanntall,1569,Jämtland Lappmark,Lappmark,Sverige,Clemet Monsson,,Fjellsamer,SE/RA/5121/5121.18/1569: 3,5,https://sok.riksarkivet.se/bildvisning/A0044590_00005,Nei,Nei,x,x,x
Skattemanntall,1569,Umeå Lappmark,Lappmark,Sverige,Lasse Joenson,,Fjellsamer,SE/RA/5121/5121.18/1569: 3,16,https://sok.riksarkivet.se/bildvisning/A0044590_00016,Nei,Nei,x,x,x
Skattemanntall,1569,Lule Lappmark,Finnebyer,Sverige,Niels Ingeualdson,,Fjellsamer,SE/RA/5121/5121.18/1569: 3,31,https://sok.riksarkivet.se/bildvisning/A0044590_00031,Nei,Nei,x,x,x
Skattemanntall,1569,"Torne Lappmark, Finnmark",Finnebyer,Sverige,Nils Nilsson,,Sjø- og Fjellsamer,SE/RA/5121/5121.18/1569: 3,49-60,https://sok.riksarkivet.se/bildvisning/A0044590_00049,Nei,Nei,x,x,x
Skattemanntall,1569,Pite Lappmark,Finnebyer,Sverige,Jöns Nilson,,Fjellsamer,SE/RA/5121/5121.18/1570: 12,35,https://sok.riksarkivet.se/bildvisning/A0044592_00035,Nei,Nei,x,x,x
Skattemanntall,1570,Umeå Lappmark,Lappmark,Sverige,Lasse Joenson,,Fjellsamer,SE/RA/5121/5121.18/1570: 4,8,https://sok.riksarkivet.se/bildvisning/A0044591_00008,Nei,Nei,x,x,x
Skattemanntall,1570,Lule Lappmark,Finnebyer,Sverige,Niels Ingeualdson,,Fjellsamer,SE/RA/5121/5121.18/1570: 4,19,https://sok.riksarkivet.se/bildvisning/A0044591_00019,Nei,Nei,x,x,x
Skattemanntall,1570,"Torne Lappmark, Finnmark",Finnebyer,Sverige,Niels Nielson,,Sjø- og Fjellsamer,SE/RA/5121/5121.18/1570: 4,36-46,https://sok.riksarkivet.se/bildvisning/A0044591_00036,Nei,Nei,x,x,x
Skattemanntall,1571,"Torne, Finnmark, Troms, Salten",Finnebyer,Sverige,Niels Nielson,,Sjø- og Fjellsamer,SE/RA/5121/5121.18/1571: 1,19-37,https://sok.riksarkivet.se/bildvisning/A0044593_00019,Nei,Nei,x,x,x
Skattemanntall,1571,Lule Lappmark,Finnebyer,Sverige,Niels Ingeualdson,,Fjellsamer,SE/RA/5121/5121.18/1571: 1,58,https://sok.riksarkivet.se/bildvisning/A0044593_00058,Nei,Nei,x,x,x
Skattemanntall,1571,Umeå Lappmark,Lappmark,Sverige,Lasse Joenson,,Fjellsamer,SE/RA/5121/5121.18/1571: 1,68,https://sok.riksarkivet.se/bildvisning/A0044593_00068,Nei,Nei,x,x,x
Skattemanntall,1571,Angermanland Lappmark,Lappmark,Sverige,Hendrig Nielsson,,Fjellsamer,SE/RA/5121/5121.18/1575: 8,11,https://sok.riksarkivet.se/bildvisning/A0044597_00011,Nei,Nei,x,x,x
Skattemanntall,1571,Pite Lappmark,Finnebyer,Sverige,Jöns Nilson,,Fjellsamer,SE/RA/5121/5121.18/1583: 9,145,https://sok.riksarkivet.se/bildvisning/A0044606_00145,Nei,Nei,x,x,x
Skattemanntall,1572,Kemi Lappmark,Finnebyer,Sverige,[uklart],,Fjellsamer,"4733 Pohjois-Pohjanmaan voutikunnan, Oulun erämaan ja Kemin Lapin maakirja  (1572-1572)",145,https://astia.narc.fi/uusiastia/viewer/?fileId=8633374714&aineistoId=1574512546,Nei,Nei,x,x,x
Skattemanntall,1572,"Torne, Finnmark, Troms, Salten",Finnebyer,Sverige,Niels Nielson Oranis,,Sjø- og Fjellsamer,SE/RA/5121/5121.18/1574: 10,91-107,https://sok.riksarkivet.se/bildvisning/A0044595_00091,Nei,Nei,x,x,x
Skattemanntall,1572,Umeå Lappmark,Lappmark,Sverige,Lasse Joenson,,Fjellsamer,SE/RA/5121/5121.18/1571: 1,81,https://sok.riksarkivet.se/bildvisning/A0044593_00081,Nei,Nei,x,x,x
Skattemanntall,1572,Angermanland Lappmark,Lappmark,Sverige,Hendrich Nielsson,,Fjellsamer,SE/RA/5121/5121.18/1575: 8,20,https://sok.riksarkivet.se/bildvisning/A0044597_00020,Nei,Nei,x,x,x
Skattemanntall,1572,Lule Lappmark,Finnebyer,Sverige,Lasse Hermanson,,Fjellsamer,SE/RA/5121/5121.18/1576: 9,73,https://sok.riksarkivet.se/bildvisning/A0044600_00073,Nei,Nei,x,x,x
Skattemanntall,1572,Pite Lappmark,Finnebyer,Sverige,Oluff Nilson,,Fjellsamer,SE/RA/5121/5121.18/1583: 9,133,https://sok.riksarkivet.se/bildvisning/A0044606_00133,Nei,Nei,x,x,x
Skattemanntall,1573,"Torne Lappmark, Finnmark",Finnebyer,Sverige,Nils Nielson Oranis,,Sjø- og Fjellsamer - rare datoer,SE/RA/5121/5121.18/1574: 10,52-61,https://sok.riksarkivet.se/bildvisning/A0044595_00052,Nei,Nei,x,x,x
Manntall,1573,Troms,Finnebyer,Sverige,Nils Nielson Oranis,,Sjøsamer - ikke klart om skatten er samlet inn,SE/RA/5121/5121.18/1574: 10,72-77,https://sok.riksarkivet.se/bildvisning/A0044595_00072,Nei,Nei,x,x,x
Skattemanntall,1573,Umeå Lappmark,Lappmark,Sverige,Lasse Joenson,,Fjellsamer,SE/RA/5121/5121.18/1571: 1,91,https://sok.riksarkivet.se/bildvisning/A0044593_00091,Nei,Nei,x,x,x
Skattemanntall,1573,Angermanland Lappmark,Lappmark,Sverige,Hendrich Nielsson,,Fjellsamer,SE/RA/5121/5121.18/1575: 8,28,https://sok.riksarkivet.se/bildvisning/A0044597_00028,Nei,Nei,x,x,x
Skattemanntall,1573,Lule Lappmark,Finnebyer,Sverige,Lasse Hermanson,,Fjellsamer,SE/RA/5121/5121.18/1576: 9,60,https://sok.riksarkivet.se/bildvisning/A0044600_00060,Nei,Nei,x,x,x
Skattemanntall,1573,Pite Lappmark,Finnebyer,Sverige,Oluff Nilson,,Fjellsamer,SE/RA/5121/5121.18/1583: 9,121,https://sok.riksarkivet.se/bildvisning/A0044606_00121,Nei,Nei,x,x,x
Skattemanntall,1574,Kemi Lappmark,Finnebyer,Sverige,Josip Hindricson,,Fjellsamer,Asiakirjat. 4985 Kemin Lapin tilikirja  (1574-1578),11,https://astia.narc.fi/uusiastia/viewer/?fileId=8947934753&aineistoId=1576701966,Nei,Nei,x,x,x
Skattemanntall,1574,Umeå Lappmark,Lappmark,Sverige,Lasse Joenson,,Fjellsamer,SE/RA/5121/5121.18/1574: 9,10,https://sok.riksarkivet.se/bildvisning/A0044594_00010,Nei,Nei,x,x,x
Skattemanntall,1574,"Torne, Finnmark, Troms, Salten",Finnebyer,Sverige,Nils Nielson Oranis,,Fjell og sjøsamer,SE/RA/5121/5121.18/1574: 10,17,https://sok.riksarkivet.se/bildvisning/A0044595_00017,Nei,Nei,x,x,x
Skattemanntall,1574,Angermanland Lappmark,Lappmark,Sverige,Hendrich Nielsson,,Fjellsamer,SE/RA/5121/5121.18/1575: 8,36,https://sok.riksarkivet.se/bildvisning/A0044597_00036,Nei,Nei,x,x,x
